우편번호,주소,도로거리(km),최단거리(km),최장거리(km)
24749,강원특별자치도 고성군 곡실평길 132,252.29,105.32,321.83
24746,강원특별자치도 고성군 왕곡마을길 47,255.96,105.32,321.83
24743,강원특별자치도 고성군 향목동길 83,259.37,105.32,321.83
24755,강원특별자치도 고성군 교암길 61,247.4,105.32,321.83
24760,강원특별자치도 고성군 화원길 296,243.86,105.32,321.83
24754,강원특별자치도 고성군 교암1길 15,247.45,105.32,321.83
24756,강원특별자치도 고성군 화원1길 59,279.64,105.32,321.83
24761,강원특별자치도 고성군 도원2길 58,246.89,105.32,321.83
24762,강원특별자치도 고성군 진등3길 87,243.19,105.32,321.83
24765,강원특별자치도 고성군 토성로 60,242.46,105.32,321.83
24764,강원특별자치도 고성군 봉포4길 22,242.94,105.32,321.83
24766,강원특별자치도 고성군 잼버리동로 593,240.98,105.32,321.83
24767,강원특별자치도 고성군 성대로 53,241.06,105.32,321.83
24763,강원특별자치도 고성군 신성1길 108,243.43,105.32,321.83
24768,강원특별자치도 고성군 용원로 470,271.83,105.32,321.83
24769,강원특별자치도 고성군 용원로 272,273.93,105.32,321.83
24757,강원특별자치도 고성군 아야진해변길 59,245.1,105.32,321.83
24758,강원특별자치도 고성군 동해대로 5213,245.52,105.32,321.83
24759,강원특별자치도 고성군 용암1길 34,278.88,105.32,321.83
24770,강원특별자치도 고성군 사진용촌길 89,243.44,105.32,321.83
24753,강원특별자치도 고성군 떡바우골길 96,251.92,105.32,321.83
24701,강원특별자치도 고성군 건봉사로 247,282.96,105.32,321.83
24703,강원특별자치도 고성군 금강산로 353,312.55,105.32,321.83
24704,강원특별자치도 고성군 한나루로 131,312.38,105.32,321.83
24706,강원특별자치도 고성군 대진1길 8,310.99,105.32,321.83
24702,강원특별자치도 고성군 마차진길 1,312.29,105.32,321.83
24707,강원특별자치도 고성군 열산길 11,273.54,105.32,321.83
24705,강원특별자치도 고성군 철통1길 44,311.12,105.32,321.83
25703,강원특별자치도 동해시 금단길 94,255.67,105.32,321.83
25792,강원특별자치도 동해시 공단10로 15,264.49,105.32,321.83
